state, state_code, division_code, division, country_code, country
Lazio,,Intl,International,IT,Italy
Uusimaa,,Intl,International,FI,Finland
Adjuntas,,Intl,International,PR,Puerto Rico
Cabo Rojo,,Intl,International,PR,Puerto Rico
Ciales,,Intl,International,PR,Puerto Rico
Florida,,Intl,International,PR,Puerto Rico
Mayaguez,,Intl,International,PR,Puerto Rico
Yauco,,Intl,International,PR,Puerto Rico
Arroyo,,Intl,International,PR,Puerto Rico
Canovanas,,Intl,International,PR,Puerto Rico
Cidra,,Intl,International,PR,Puerto Rico
San Lorenzo,,Intl,International,PR,Puerto Rico
Loiza,,Intl,International,PR,Puerto Rico
Barranquitas,,Intl,International,PR,Puerto Rico
Vi,,Intl,International,VI,"Virgin Islands, U.S."
Žilinský kraj,,Intl,International,SK,Slovakia
Perlis,,Intl,International,MY,Malaysia
Pais Vasco,,Intl,International,ES,Spain
Distrito Federal,,Intl,International,MX,Mexico
Northland,,Intl,International,NZ,New Zealand
Aomori Ken,,Intl,International,JP,Japan
Chlef,,Intl,International,DZ,Algeria
L.Aghouat,,Intl,International,DZ,Algeria
Afyonkarahisar,,Intl,International,TR,Turkey
Thüringen,,Intl,International,DE,Germany
Amasya,,Intl,International,TR,Turkey
DEPTO DE ESCUINTLA,,Intl,International,GT,Guatemala
Sao Paulo,,Intl,International,BR,Brazil
Ankara,,Intl,International,TR,Turkey
Baleares,,Intl,International,ES,Spain
Sardegna,,Intl,International,IT,Italy
Giurgiu,,Intl,International,RO,Romania
Occitanie,,Intl,International,FR,France
Warmia-Masuria,,Intl,International,PL,Poland
Tokyo To,,Intl,International,JP,Japan
Dhaka Division,,Intl,International,BD,Bangladesh
Lisboa,,Intl,International,PT,Portugal
경기도,,Intl,International,KR,"Korea, Republic of"
Norhern Punajb Rawal,,Intl,International,PK,Pakistan
Pulau Pinang,,Intl,International,MY,Malaysia
Budapest,,Intl,International,HU,Hungary
Berlin,,Intl,International,DE,Germany
Zagrebačka,,Intl,International,HR,Croatia
Wien,,Intl,International,AT,Austria
Silesia,,Intl,International,PL,Poland
Tamanrasset,,Intl,International,DZ,Algeria
Bilecik,,Intl,International,TR,Turkey
Noord-Holland,,Intl,International,NL,Netherlands
Liguria,,Intl,International,IT,Italy
Bitlis,,Intl,International,TR,Turkey
Bolivar,,Intl,International,CO,Colombia
DEPTO DE HUEHUETENAN,,Intl,International,GT,Guatemala
Phranakhon Si Ayutth,,Intl,International,TH,Thailand
Chernihivska,,Intl,International,UA,Ukraine
Московская,,Intl,International,RU,Russian Federation
Teleorman,,Intl,International,RO,Romania
Utrecht,,Intl,International,NL,Netherlands
Ярославска,,Intl,International,RU,Russian Federation
Østfold fylke,,Intl,International,NO,Norway
Ивановская,,Intl,International,RU,Russian Federation
Canton de Berne,,Intl,International,CH,Switzerland
Nouvelle-Aquitaine,,Intl,International,FR,France
Buenos Aires,,Intl,International,AR,Argentina
Архангельс,,Intl,International,RU,Russian Federation
Тверская О,,Intl,International,RU,Russian Federation
Himachal Pradesh,,Intl,International,IN,India
Región de Coquimbo,,Intl,International,CL,Chile
Псковская ,,Intl,International,RU,Russian Federation
DEPTO DE IZABAL,,Intl,International,GT,Guatemala
Мурманская,,Intl,International,RU,Russian Federation
Ленинградс,,Intl,International,RU,Russian Federation
Skåne,,Intl,International,SE,Sweden
Aguascalientes,,Intl,International,MX,Mexico
Cesar,,Intl,International,CO,Colombia
DEPTO DE CHIQUIMULA,,Intl,International,GT,Guatemala
Hamburg,,Intl,International,DE,Germany
Vlaanderen,,Intl,International,BE,Belgium
Setúbal,,Intl,International,PT,Portugal
Skikda,,Intl,International,DZ,Algeria
Vinnytska,,Intl,International,UA,Ukraine
Grodno,,Intl,International,BY,Belarus
Splitsko-Dalmatinska,,Intl,International,HR,Croatia
Bretagne,,Intl,International,FR,France
Mehedinţi,,Intl,International,RO,Romania
Edirne,,Intl,International,TR,Turkey
Ålands landsbygd,,Intl,International,AX,Åland Islands
Перник / Perni,,Intl,International,BG,Bulgaria
Jura,,Intl,International,CH,Switzerland
Rio de Janeiro ,,Intl,International,BR,Brazil
Guelma,,Intl,International,DZ,Algeria
Burgenland,,Intl,International,AT,Austria
Coahuila de Zaragoza,,Intl,International,MX,Mexico
Кюстендил /,,Intl,International,BG,Bulgaria
Łódź Voivodeship,,Intl,International,PL,Poland
Nakhon Nayok,,Intl,International,TH,Thailand
Selangor,,Intl,International,MY,Malaysia
Благоевгра,,Intl,International,BG,Bulgaria
Rocha,,Intl,International,UY,Uruguay
Giresun,,Intl,International,TR,Turkey
Chiapas,,Intl,International,MX,Mexico
Ida-Viru maakond,,Intl,International,EE,Estonia
Victoria,,Intl,International,AU,Australia
Nakhon Ratchasima,,Intl,International,TH,Thailand
Minas Gerais,,Intl,International,BR,Brazil
Hedmark,,Intl,International,NO,Norway
Veneto,,Intl,International,IT,Italy
Bay of Plenty,,Intl,International,NZ,New Zealand
Орловская ,,Intl,International,RU,Russian Federation
Finnmark,,Intl,International,NO,Norway
Chihuahua,,Intl,International,MX,Mexico
Osječko-Baranjska,,Intl,International,HR,Croatia
Hatay,,Intl,International,TR,Turkey
Souhern Punajb Mulan,,Intl,International,PK,Pakistan
Vukovarsko-Srijemska,,Intl,International,HR,Croatia
Illizi,,Intl,International,DZ,Algeria
Friuli-Venezia Giuli,,Intl,International,IT,Italy
Sisaket,,Intl,International,TH,Thailand
Región del Maule,,Intl,International,CL,Chile
Chittagong,,Intl,International,BD,Bangladesh
Durango,,Intl,International,MX,Mexico
Ubon Ratchathani,,Intl,International,TH,Thailand
Na Tan,,Intl,International,TH,Thailand
Boumerdes,,Intl,International,DZ,Algeria
Canarias,,Intl,International,ES,Spain
Kalmar,,Intl,International,SE,Sweden
Gujarat,,Intl,International,IN,India
Северная О,,Intl,International,RU,Russian Federation
Пловдив / Plo,,Intl,International,BG,Bulgaria
Карачаево-,,Intl,International,RU,Russian Federation
Kastamonu,,Intl,International,TR,Turkey
Tissemsilt,,Intl,International,DZ,Algeria
Адыгея Рес,,Intl,International,RU,Russian Federation
Niigata Ken,,Intl,International,JP,Japan
Manawatu-Wanganui,,Intl,International,NZ,New Zealand
Dadra & Nagar Haveli,,Intl,International,IN,India
Hajdú-Bihar,,Intl,International,HU,Hungary
Kirşehir,,Intl,International,TR,Turkey
Cluj,,Intl,International,RO,Romania
Provincia de Heredia,,Intl,International,CR,Costa Rica
Bihor,,Intl,International,RO,Romania
대구광역시,,Intl,International,KR,"Korea, Republic of"
Catamarca,,Intl,International,AR,Argentina
Opole Voivodeship,,Intl,International,PL,Poland
Bistriţa-Năsăud,,Intl,International,RO,Romania
Марий Эл Ре,,Intl,International,RU,Russian Federation
Maramureş,,Intl,International,RO,Romania
Zeeland,,Intl,International,NL,Netherlands
Kanton Aargau,,Intl,International,CH,Switzerland
Lääne-Viru maakond,,Intl,International,EE,Estonia
Malatya,,Intl,International,TR,Turkey
울산광역시,,Intl,International,KR,"Korea, Republic of"
Maha Sarakham,,Intl,International,TH,Thailand
Naama,,Intl,International,DZ,Algeria
Tacuarembo,,Intl,International,UY,Uruguay
Челябинска,,Intl,International,RU,Russian Federation
Kahramanmaraş,,Intl,International,TR,Turkey
Karlovačka,,Intl,International,HR,Croatia
Mardin,,Intl,International,TR,Turkey
Koprivničko-Križev,,Intl,International,HR,Croatia
Mukdahan,,Intl,International,TH,Thailand
Mie Ken,,Intl,International,JP,Japan
Rangpur Division,,Intl,International,BD,Bangladesh
Nevşehir,,Intl,International,TR,Turkey
Meta,,Intl,International,CO,Colombia
Vestfold,,Intl,International,NO,Norway
Andhra Pradesh,,Intl,International,IN,India
Región de los Ríos,,Intl,International,CL,Chile
Lamphun,,Intl,International,TH,Thailand
Lampang,,Intl,International,TH,Thailand
Melilla,,Intl,International,ES,Spain
Osaka Fu,,Intl,International,JP,Japan
Ličko-Senjska,,Intl,International,HR,Croatia
Rheinland-Pfalz,,Intl,International,DE,Germany
Mureş,,Intl,International,RO,Romania
Örebro,,Intl,International,SE,Sweden
Siirt,,Intl,International,TR,Turkey
전라남도,,Intl,International,KR,"Korea, Republic of"
Mae Hong Son,,Intl,International,TH,Thailand
Chernivetska,,Intl,International,UA,Ukraine
Tekirdağ,,Intl,International,TR,Turkey
Castelo Branco,,Intl,International,PT,Portugal
Bacău,,Intl,International,RO,Romania
South Ostrobothnia R,,Intl,International,FI,Finland
Portalegre,,Intl,International,PT,Portugal
Kharkivska,,Intl,International,UA,Ukraine
Uthai Thani,,Intl,International,TH,Thailand
Neamţ,,Intl,International,RO,Romania
Пермский К,,Intl,International,RU,Russian Federation
Ceara,,Intl,International,BR,Brazil
Tunceli,,Intl,International,TR,Turkey
Vrancea,,Intl,International,RO,Romania
Põlva maakond,,Intl,International,EE,Estonia
Nayarit,,Intl,International,MX,Mexico
Новосибирс,,Intl,International,RU,Russian Federation
Tak,,Intl,International,TH,Thailand
Nuevo León,,Intl,International,MX,Mexico
Курганская,,Intl,International,RU,Russian Federation
Алтай Респ,,Intl,International,RU,Russian Federation
Кемеровска,,Intl,International,RU,Russian Federation
Kanton Graubünden,,Intl,International,CH,Switzerland
Csongrád,,Intl,International,HU,Hungary
Zonguldak,,Intl,International,TR,Turkey
Бурятия Ре,,Intl,International,RU,Russian Federation
Central Ostrobothnia,,Intl,International,FI,Finland
,,Intl,International,RU,Russian Federation
Tottori Ken,,Intl,International,JP,Japan
North Ostrobothnia R,,Intl,International,FI,Finland
Shimane Ken,,Intl,International,JP,Japan
Bayburt,,Intl,International,TR,Turkey
Viljandi maakond,,Intl,International,EE,Estonia
Okayama Ken,,Intl,International,JP,Japan
Colonia,,Intl,International,UY,Uruguay
Iaşi,,Intl,International,RO,Romania
Khulna Division,,Intl,International,BD,Bangladesh
Tasman,,Intl,International,NZ,New Zealand
Soriano,,Intl,International,UY,Uruguay
Botoşani,,Intl,International,RO,Romania
Hiroshima Ken,,Intl,International,JP,Japan
Suceava,,Intl,International,RO,Romania
Somogy,,Intl,International,HU,Hungary
Samut Sakhon,,Intl,International,TH,Thailand
Andaman & Nicobar Is,,Intl,International,IN,India
Ardahan,,Intl,International,TR,Turkey
Île-de-France,,Intl,International,FR,France
Odisha,,Intl,International,IN,India
Добрич / Dobri,,Intl,International,BG,Bulgaria
Ivano-Frankivska,,Intl,International,UA,Ukraine
Tokushima Ken,,Intl,International,JP,Japan
Tocantins,,Intl,International,BR,Brazil
Yalova,,Intl,International,TR,Turkey
Karabük,,Intl,International,TR,Turkey
West Coast,,Intl,International,NZ,New Zealand
Gävleborg,,Intl,International,SE,Sweden
Arunachal Pradesh,,Intl,International,IN,India
Mato Grosso do Sul,,Intl,International,BR,Brazil
Tripura,,Intl,International,IN,India
Mazovia,,Intl,International,PL,Poland
Kanta-Häme,,Intl,International,FI,Finland
Hokkaido,,Intl,International,JP,Japan
,,Intl,International,LK,Sri Lanka
Dorado,,Intl,International,PR,Puerto Rico
Hormigueros,,Intl,International,PR,Puerto Rico
Moca,,Intl,International,PR,Puerto Rico
Aibonito,,Intl,International,PR,Puerto Rico
Patillas,,Intl,International,PR,Puerto Rico
Fajardo,,Intl,International,PR,Puerto Rico
Naguabo,,Intl,International,PR,Puerto Rico
Villalba,,Intl,International,PR,Puerto Rico
Gurabo,,Intl,International,PR,Puerto Rico
Guayanilla,,Intl,International,PR,Puerto Rico
Toa Baja,,Intl,International,PR,Puerto Rico
Guaynabo,,Intl,International,PR,Puerto Rico
Carolina,,Intl,International,PR,Puerto Rico
Auvergne-Rhône-Alpe,,Intl,International,FR,France
Bucureşti,,Intl,International,RO,Romania
DEPTO DE GUATEMALA,,Intl,International,GT,Guatemala
Trenčiansky kraj,,Intl,International,SK,Slovakia
Iwate Ken,,Intl,International,JP,Japan
DEPTO DE EL PROGRESO,,Intl,International,GT,Guatemala
DEPTO DE SACATEPEQUE,,Intl,International,GT,Guatemala
,,Intl,International,PH,Philippines
Provence-Alpes-Côte,,Intl,International,FR,France
DEPTO DE CHIMALTENAN,,Intl,International,GT,Guatemala
Kedah,,Intl,International,MY,Malaysia
Umbria,,Intl,International,IT,Italy
Lubusz,,Intl,International,PL,Poland
DEPTO DE SANTA ROSA,,Intl,International,GT,Guatemala
Biskra,,Intl,International,DZ,Algeria
Kyivska,,Intl,International,UA,Ukraine
Pomerania,,Intl,International,PL,Poland
Grand Est,,Intl,International,FR,France
DEPTO DE TOTONICAPAN,,Intl,International,GT,Guatemala
Northern Territory,,Intl,International,AU,Australia
Western Australia,,Intl,International,AU,Australia
DEPTO DE QUETZALTENA,,Intl,International,GT,Guatemala
Stockholm,,Intl,International,SE,Sweden
,,Intl,International,MK,"Macedonia, the former Yugoslav Republic of"
DEPTO DE SUCHITEPEQU,,Intl,International,GT,Guatemala
Zhytomyrska,,Intl,International,UA,Ukraine
Bangkok,,Intl,International,TH,Thailand
,,Intl,International,DO,Dominican Republic
Federal Capial &AJK,,Intl,International,PK,Pakistan
DEPTO DE RETALHULEU,,Intl,International,GT,Guatemala
"Bogota, D.C.",,Intl,International,CO,Colombia
Región de Tarapacá,,Intl,International,CL,Chile
Bingöl,,Intl,International,TR,Turkey
DEPTO DE SAN MARCOS,,Intl,International,GT,Guatemala
Haryana,,Intl,International,IN,India
Wallonie,,Intl,International,BE,Belgium
,,Intl,International,SE,Sweden
DEPTO DEL QUICHE,,Intl,International,GT,Guatemala
Chandigarh,,Intl,International,IN,India
Zuid-Holland,,Intl,International,NL,Netherlands
Canelones,,Intl,International,UY,Uruguay
Lopburi,,Intl,International,TH,Thailand
Boyaca,,Intl,International,CO,Colombia
Костромска,,Intl,International,RU,Russian Federation
Bursa,,Intl,International,TR,Turkey
Коми Респу,,Intl,International,RU,Russian Federation
Djelfa,,Intl,International,DZ,Algeria
Chainat,,Intl,International,TH,Thailand
Cherkaska,,Intl,International,UA,Ukraine
Caqueta,,Intl,International,CO,Colombia
Canton du Valais,,Intl,International,CH,Switzerland
Çorum,,Intl,International,TR,Turkey
Санкт-Пете,,Intl,International,RU,Russian Federation
Świętokrzyskie,,Intl,International,PL,Poland
Santa Fe,,Intl,International,AR,Argentina
Chonburi,,Intl,International,TH,Thailand
Dolj,,Intl,International,RO,Romania
Terengganu,,Intl,International,MY,Malaysia
Corse,,Intl,International,FR,France
Central Region,,Intl,International,MW,Malawi
Southwest Finland,,Intl,International,FI,Finland
Fejér,,Intl,International,HU,Hungary
Buskerud,,Intl,International,NO,Norway
DEPTO DE JALAPA,,Intl,International,GT,Guatemala
Schleswig-Holstein,,Intl,International,DE,Germany
Vitebk,,Intl,International,BY,Belarus
Waikato,,Intl,International,NZ,New Zealand
Nógrád,,Intl,International,HU,Hungary
Minsk,,Intl,International,BY,Belarus
Chanthaburi,,Intl,International,TH,Thailand
Annaba,,Intl,International,DZ,Algeria
Zadarska,,Intl,International,HR,Croatia
Olt,,Intl,International,RO,Romania
Elaziğ,,Intl,International,TR,Turkey
Santiago Del Estero,,Intl,International,AR,Argentina
Greater Poland,,Intl,International,PL,Poland
Chachoengsao,,Intl,International,TH,Thailand
Vâlcea,,Intl,International,RO,Romania
,,Intl,International,GL,Greenland
Constantine,,Intl,International,DZ,Algeria
Cundinamarca,,Intl,International,CO,Colombia
Erzurum,,Intl,International,TR,Turkey
Chiba Ken,,Intl,International,JP,Japan
Eskişehir,,Intl,International,TR,Turkey
Satakunta,,Intl,International,FI,Finland
Mostaganem,,Intl,International,DZ,Algeria
Choco,,Intl,International,CO,Colombia
Halland,,Intl,International,SE,Sweden
Madrid,,Intl,International,ES,Spain
Kronoberg,,Intl,International,SE,Sweden
Gümüşhane,,Intl,International,TR,Turkey
Emilia-Romagna,,Intl,International,IT,Italy
Blekinge,,Intl,International,SE,Sweden
Ibaraki Ken,,Intl,International,JP,Japan
Ouargla,,Intl,International,DZ,Algeria
Тульская О,,Intl,International,RU,Russian Federation
Rajasthan,,Intl,International,IN,India
Враца / Vraca,,Intl,International,BG,Bulgaria
,,Intl,International,NZ,New Zealand
Burirum,,Intl,International,TH,Thailand
Tochigi Ken,,Intl,International,JP,Japan
Isparta,,Intl,International,TR,Turkey
Nordrhein-Westfalen,,Intl,International,DE,Germany
Nakhon Sie Thammarat,,Intl,International,TH,Thailand
Parana,,Intl,International,BR,Brazil
Campania,,Intl,International,IT,Italy
Kanton Zürich,,Intl,International,CH,Switzerland
Бургас / Burga,,Intl,International,BG,Bulgaria
Düzce,,Intl,International,TR,Turkey
Jämtland,,Intl,International,SE,Sweden
Phang Nga,,Intl,International,TH,Thailand
Kanton Thurgau,,Intl,International,CH,Switzerland
Ranong,,Intl,International,TH,Thailand
Chumphon,,Intl,International,TH,Thailand
Labuan,,Intl,International,MY,Malaysia
Sabah,,Intl,International,MY,Malaysia
Сливен / Slive,,Intl,International,BG,Bulgaria
Okinawa Ken,,Intl,International,JP,Japan
Tlaxcala,,Intl,International,MX,Mexico
Amazonas,,Intl,International,CO,Colombia
Satun,,Intl,International,TH,Thailand
Oppland,,Intl,International,NO,Norway
Nitriansky kraj,,Intl,International,SK,Slovakia
Toyama Ken,,Intl,International,JP,Japan
Sarawak,,Intl,International,MY,Malaysia
Tierra Del Fuego,,Intl,International,AR,Argentina
Eschen,,Intl,International,LI,Liechtenstein
Triesen,,Intl,International,LI,Liechtenstein
Fukushima Ken,,Intl,International,JP,Japan
State of Chuuk,,Intl,International,FM,"Micronesia, Federated States of"
Mh,,Intl,International,MH,Marshall Islands
Guadeloupe,,Intl,International,GP,Guadeloupe
Miquelon-Langlade,,Intl,International,PM,Saint Pierre and Miquelon
Mayotte (general),,Intl,International,YT,Mayotte
Bandraboua,,Intl,International,YT,Mayotte
Monaco,,Intl,International,MC,Monaco
Circonscription d'Al,,Intl,International,WF,Wallis and Futuna
Province Sud,,Intl,International,NC,New Caledonia
Kktc,,Intl,International,TR,Turkey
Abşeron,,Intl,International,AZ,Azerbaijan
Ağdaş,,Intl,International,AZ,Azerbaijan
Ağsu,,Intl,International,AZ,Azerbaijan
Bərdə,,Intl,International,AZ,Azerbaijan
Beyləqan,,Intl,International,AZ,Azerbaijan
Goranboy,,Intl,International,AZ,Azerbaijan
Xocavənd,,Intl,International,AZ,Azerbaijan
Qax,,Intl,International,AZ,Azerbaijan
Qəbələ,,Intl,International,AZ,Azerbaijan
Qusar,,Intl,International,AZ,Azerbaijan
Masalli,,Intl,International,AZ,Azerbaijan
Samux,,Intl,International,AZ,Azerbaijan
Siyəzən,,Intl,International,AZ,Azerbaijan
Şuşa,,Intl,International,AZ,Azerbaijan
Zərdab,,Intl,International,AZ,Azerbaijan
Xizi,,Intl,International,AZ,Azerbaijan
Northern Ireland,,Intl,International,GB,United Kingdom
Smith’s Parish,,Intl,International,BM,Bermuda
L-Għarb,,Intl,International,MT,Malta
,,Intl,International,GB,United Kingdom
,,Intl,International,JE,Jersey
Il-Kalkara,,Intl,International,MT,Malta
Echternach,,Intl,International,LU,Luxembourg
Redange,,Intl,International,LU,Luxembourg
Vianden,,Intl,International,LU,Luxembourg
Garkalnes nov.,,Intl,International,LV,Latvia
Ādažu nov.,,Intl,International,LV,Latvia
Baldones nov.,,Intl,International,LV,Latvia
Carnikavas nov.,,Intl,International,LV,Latvia
Kandavas nov.,,Intl,International,LV,Latvia
Talsu nov.,,Intl,International,LV,Latvia
Mērsraga nov.,,Intl,International,LV,Latvia
Pāvilostas nov.,,Intl,International,LV,Latvia
Dobeles nov.,,Intl,International,LV,Latvia
Auces nov.,,Intl,International,LV,Latvia
Alojas nov.,,Intl,International,LV,Latvia
Pārgaujas nov.,,Intl,International,LV,Latvia
Kocēnu nov.,,Intl,International,LV,Latvia
Rūjienas nov.,,Intl,International,LV,Latvia
Baltinavas nov.,,Intl,International,LV,Latvia
Smiltenes nov.,,Intl,International,LV,Latvia
Varakļānu nov.,,Intl,International,LV,Latvia
Ikšķiles nov.,,Intl,International,LV,Latvia
Pļaviņu nov.,,Intl,International,LV,Latvia
Krustpils nov.,,Intl,International,LV,Latvia
Salas nov.,,Intl,International,LV,Latvia
Riebiņu nov.,,Intl,International,LV,Latvia
Ilūkstes nov.,,Intl,International,LV,Latvia
Dagdas nov.,,Intl,International,LV,Latvia
Kārsavas nov.,,Intl,International,LV,Latvia
Sandys Parish,,Intl,International,BM,Bermuda
Tiraspol Tr.,,Intl,International,MD,"Moldova, Republic of"
Calarasi,,Intl,International,MD,"Moldova, Republic of"
Cimislia,,Intl,International,MD,"Moldova, Republic of"
Dubasari Cr.,,Intl,International,MD,"Moldova, Republic of"
Mun.Balti,,Intl,International,MD,"Moldova, Republic of"
Riscani,,Intl,International,MD,"Moldova, Republic of"
Ribnita Tr.,,Intl,International,MD,"Moldova, Republic of"
Falesti,,Intl,International,MD,"Moldova, Republic of"
Nisporeni,,Intl,International,MD,"Moldova, Republic of"
Taraclia,,Intl,International,MD,"Moldova, Republic of"
L-Imqabba,,Intl,International,MT,Malta
Marsaskala,,Intl,International,MT,Malta
Pembroke,,Intl,International,MT,Malta
Il-Qrendi,,Intl,International,MT,Malta
Southampton Parish,,Intl,International,BM,Bermuda
Saint Julian's,,Intl,International,MT,Malta
Tarxien,,Intl,International,MT,Malta
Il-Munxar,,Intl,International,MT,Malta
Maricao,,Intl,International,PR,Puerto Rico
Penuelas,,Intl,International,PR,Puerto Rico
Sabana Grande,,Intl,International,PR,Puerto Rico
Vega Alta,,Intl,International,PR,Puerto Rico
Maunabo,,Intl,International,PR,Puerto Rico
Las Piedras,,Intl,International,PR,Puerto Rico
Phayao,,Intl,International,TH,Thailand
Rota,,Intl,International,MP,Northern Mariana Islands
Dzaoudzi,,Intl,International,YT,Mayotte
Acoua,,Intl,International,YT,Mayotte
Bandrele,,Intl,International,YT,Mayotte
Tsingoni,,Intl,International,YT,Mayotte
Bormla,,Intl,International,MT,Malta
Ħal Għargħur,,Intl,International,MT,Malta
L-Isla,,Intl,International,MT,Malta
Jönköping,,Intl,International,SE,Sweden
Misiones,,Intl,International,AR,Argentina
Asturias,,Intl,International,ES,Spain
Oberösterreich,,Intl,International,AT,Austria
Монтана / Mon,,Intl,International,BG,Bulgaria
Hessen,,Intl,International,DE,Germany
Viseu,,Intl,International,PT,Portugal
Brodsko-Posavska,,Intl,International,HR,Croatia
İzmir,,Intl,International,TR,Turkey
Cerro Largo,,Intl,International,UY,Uruguay
Guarda,,Intl,International,PT,Portugal
Lower Silesia,,Intl,International,PL,Poland
El-Taref,,Intl,International,DZ,Algeria
Кабардино-,,Intl,International,RU,Russian Federation
Daman & Diu,,Intl,International,IN,India
Чеченская ,,Intl,International,RU,Russian Federation
Gumma Ken,,Intl,International,JP,Japan
Trentino-Alto Adige,,Intl,International,IT,Italy
Ингушетия ,,Intl,International,RU,Russian Federation
Kirklareli,,Intl,International,TR,Turkey
Non Bua Lam Phu,,Intl,International,TH,Thailand
Липецкая О,,Intl,International,RU,Russian Federation
Queensland,,Intl,International,AU,Australia
Khenchela,,Intl,International,DZ,Algeria
Bahia,,Intl,International,BR,Brazil
Maharashtra,,Intl,International,IN,India
Sogn og Fjordane,,Intl,International,NO,Norway
Khon Kaen,,Intl,International,TH,Thailand
Goa,,Intl,International,IN,India
Kocaeli,,Intl,International,TR,Turkey
Hawke's Bay,,Intl,International,NZ,New Zealand
Hidalgo,,Intl,International,MX,Mexico
Татарстан ,,Intl,International,RU,Russian Federation
Szabolcs-Szatmár-Be,,Intl,International,HU,Hungary
Чувашская ,,Intl,International,RU,Russian Federation
Nong Khai,,Intl,International,TH,Thailand
Ульяновска,,Intl,International,RU,Russian Federation
Troms,,Intl,International,NO,Norway
Sisačko-Moslavačka,,Intl,International,HR,Croatia
La Guajira,,Intl,International,CO,Colombia
Jalisco,,Intl,International,MX,Mexico
Madhya Pradesh,,Intl,International,IN,India
Башкортост,,Intl,International,RU,Russian Federation
Durazno,,Intl,International,UY,Uruguay
부산광역시,,Intl,International,KR,"Korea, Republic of"
Ternopilska,,Intl,International,UA,Ukraine
Braga,,Intl,International,PT,Portugal
Байконур,,Intl,International,RU,Russian Federation
Ghardaia,,Intl,International,DZ,Algeria
Akershus,,Intl,International,NO,Norway
Relizane,,Intl,International,DZ,Algeria
Nakhon Phanom,,Intl,International,TH,Thailand
Viana do Castelo,,Intl,International,PT,Portugal
Sergipe,,Intl,International,BR,Brazil
Muş,,Intl,International,TR,Turkey
Стара Заго,,Intl,International,BG,Bulgaria
Salto,,Intl,International,UY,Uruguay
Braşov,,Intl,International,RO,Romania
Jász-Nagykun-Szolno,,Intl,International,HU,Hungary
Provincia de Guanaca,,Intl,International,CR,Costa Rica
Хасково / Kha,,Intl,International,BG,Bulgaria
Alba,,Intl,International,RO,Romania
Bragança,,Intl,International,PT,Portugal
Kyoto Fu,,Intl,International,JP,Japan
Istarska,,Intl,International,HR,Croatia
Nariño,,Intl,International,CO,Colombia
Harghita,,Intl,International,RO,Romania
South Karelia,,Intl,International,FI,Finland
Región de los Lagos,,Intl,International,CL,Chile
Norte De Santander,,Intl,International,CO,Colombia
Sakarya,,Intl,International,TR,Turkey
Mendoza,,Intl,International,AR,Argentina
Samsun,,Intl,International,TR,Turkey
Karnataka,,Intl,International,IN,India
Sinop,,Intl,International,TR,Turkey
Chiang Rai,,Intl,International,TH,Thailand
Limburg,,Intl,International,NL,Netherlands
Sivas,,Intl,International,TR,Turkey
Владимирск,,Intl,International,RU,Russian Federation
Marche,,Intl,International,IT,Italy
Provincia de Puntare,,Intl,International,CR,Costa Rica
Tirol,,Intl,International,AT,Austria
Región de Magallane,,Intl,International,CL,Chile
Kamphaeng Phet,,Intl,International,TH,Thailand
Търговище /,,Intl,International,BG,Bulgaria
제주특별자치,,Intl,International,KR,"Korea, Republic of"
Kanton Nidwalden,,Intl,International,CH,Switzerland
Wakayama Ken,,Intl,International,JP,Japan
Võru maakond,,Intl,International,EE,Estonia
Piaui,,Intl,International,BR,Brazil
Красноярск,,Intl,International,RU,Russian Federation
Odeska,,Intl,International,UA,Ukraine
Hyderabad,,Intl,International,PK,Pakistan
Алтайский ,,Intl,International,RU,Russian Federation
Yozgat,,Intl,International,TR,Turkey
Risaralda,,Intl,International,CO,Colombia
Иркутская ,,Intl,International,RU,Russian Federation
Vorarlberg,,Intl,International,AT,Austria
Читинская ,,Intl,International,RU,Russian Federation
Aksaray,,Intl,International,TR,Turkey
Santander,,Intl,International,CO,Colombia
Камчатская,,Intl,International,RU,Russian Federation
Amapa,,Intl,International,BR,Brazil
Zaporizka,,Intl,International,UA,Ukraine
Acre,,Intl,International,BR,Brazil
Karaman,,Intl,International,TR,Turkey
Sucre,,Intl,International,CO,Colombia
Tolna,,Intl,International,HU,Hungary
Kirikkale,,Intl,International,TR,Turkey
Västmanland,,Intl,International,SE,Sweden
Järva maakond,,Intl,International,EE,Estonia
Beja,,Intl,International,PT,Portugal
Goias,,Intl,International,BR,Brazil
Nakhon Pathom,,Intl,International,TH,Thailand
Vaslui,,Intl,International,RO,Romania
Kanton St. Gallen,,Intl,International,CH,Switzerland
Uppsala,,Intl,International,SE,Sweden
Bartin,,Intl,International,TR,Turkey
Iğdir,,Intl,International,TR,Turkey
Valle Del Cauca,,Intl,International,CO,Colombia
Lääne maakond,,Intl,International,EE,Estonia
Drenthe,,Intl,International,NL,Netherlands
San Luis Potosí,,Intl,International,MX,Mexico
Rondonia,,Intl,International,BR,Brazil
Lvivska,,Intl,International,UA,Ukraine
Mizoram,,Intl,International,IN,India
Faro,,Intl,International,PT,Portugal
San Jose,,Intl,International,UY,Uruguay
Balochisan,,Intl,International,PK,Pakistan
Krabi,,Intl,International,TH,Thailand
Arauca,,Intl,International,CO,Colombia
Rio Negro,,Intl,International,AR,Argentina
Barisal Division,,Intl,International,BD,Bangladesh
Phuket,,Intl,International,TH,Thailand
Zala,,Intl,International,HU,Hungary
